Company,Sector,State,City,Roles,LinkedIn,Website
Corporation Bank,Banking & Finance,India,Mangaluru,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/corporation-bank,http://www.corpbank.com/
Evalueserve,General,India,Schaffhausen,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/evalueserve,http://www.evalueserve.com
Reliance Communications,Information Technology,Maharashtra,Mumbai,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/reliance-communications,http://www.rcom.co.in/
Kotak Mahindra Bank,Banking & Finance,Maharashtra,Mumbai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/kotak-mahindra-bank,https://www.kotak.com/
Allahabad Bank,Banking & Finance,West Bengal,Kolkata,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/allahabad-bank,N/A
Dulux,General,India,N/A,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/dulux,https://www.dulux.co.uk/en
Bank of Baroda,Banking & Finance,Gujarat,Vadodara,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/bank-of-baroda,https://www.bankofbaroda.in/
Bhushan Steel,Steel & Metals,India,New Delhi,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/bhushan-steel,http://www.bhushan-group.org/
Vodafone Idea,Telecommunications,Maharashtra,Mumbai,"Network Engineer, RF Engineer, Field Technician, Support Engineer",https://www.linkedin.com/company/vodafone-idea,https://www.myvi.in/
Mahanagar Telephone Nigam,Telecommunications,India,New Delhi,"Network Engineer, RF Engineer, Field Technician, Support Engineer",https://www.linkedin.com/company/mahanagar-telephone-nigam,http://www.mtnl.net.in/
Indian Overseas Bank,Banking & Finance,Tamil Nadu,Chennai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/indian-overseas-bank,https://www.iob.in
State Bank of India,Banking & Finance,Maharashtra,Mumbai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/state-bank-of-india,https://www.sbi.co.in
Reliance Power,Information Technology,Maharashtra,Navi Mumbai,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/reliance-power,http://www.reliancepower.co.in/home.htm
Federal Bank,Banking & Finance,India,N/A,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/federal-bank,https://www.federalbank.co.in/
Natco Pharma,Pharmaceuticals,Telangana,Hyderabad,"R&D Scientist, Production Operator, Quality Assurance, Regulatory Affairs, Pharmacovigilance",https://www.linkedin.com/company/natco-pharma,https://natcopharma.site/
Biocon,Biotechnology,Karnataka,Bengaluru,"Research Scientist, Lab Technician, Bioprocess Engineer",https://www.linkedin.com/company/biocon,http://www.biocon.com/
Tamilnad Mercantile Bank Limited,General,India,Thoothukudi,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/tamilnad-mercantile-bank-limited,http://www.tmb.in/
iYogi,Information Technology,Haryana,Gurgaon,"Software Engineer, QA Engineer, Data Engineer, DevOps, Product Manager, Business Analyst",https://www.linkedin.com/company/iyogi,http://www.iyogi.com/
Union Bank of India,Banking & Finance,Maharashtra,Mumbai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/union-bank-of-india,http://www.unionbankofindia.co.in/
Union Bank of India,Banking & Finance,Maharashtra,Mumbai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/union-bank-of-india,https://www.unionbankonline.co.in/
Larsen & Toubro,Conglomerate,Maharashtra,Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/larsen-toubro,http://www.larsentoubro.com
Yes Bank,Banking & Finance,Maharashtra,Mumbai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/yes-bank,https://www.yesbank.in/
Moser Baer,General,India,New Delhi,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/moser-baer,http://moserbaer.com
Central Bank of India,Banking & Finance,Maharashtra,Mumbai,"Relationship Manager, Credit Analyst, Risk Analyst, Branch Manager, Financial Analyst",https://www.linkedin.com/company/central-bank-of-india,https://www.centralbankofindia.co.in/
Indian Oil Corporation,Energy,India,New Delhi,"Process Engineer, Electrical Engineer, Plant Operator, Project Engineer",https://www.linkedin.com/company/indian-oil-corporation,https://www.iocl.com/
BharatBenz,Automotive,Tamil Nadu,Chennai,"Design Engineer, Production Engineer, Quality Engineer, Sales Engineer",https://www.linkedin.com/company/bharatbenz,http://www.bharatbenz.com/
Reliance Anil Dhirubhai Ambani Group,Conglomerate,Maharashtra,Navi Mumbai,"Operations, Admin, HR, Marketing, Support Staff",https://www.linkedin.com/company/reliance-anil-dhirubhai-ambani-group,https://www.reliancegroupindia.com
